pNorm	miniHashCount	macroTableCount	targetDistSq	avg valid count	avg missed samples	avg wasted samples
0.032	20	7	5	74.234	1.38	85.882
0.032	30	3	5	71.583	14.91	22.251
0.032	30	7	5	75.37	4.12	39.958
0.032	40	3	5	76.982	27.301	9.516
0.032	40	7	5	75.741	19.206	16.506
0.032	50	3	5	72.758	45.132	2.654
0.032	50	7	5	76.904	20.193	11.82
0.064	10	3	5	80.307	0.407	332.853
0.064	10	7	5	71.43	0.014	725.138
0.064	20	3	5	71.692	13.187	47.2
0.064	20	7	5	78.228	3.892	89.954
0.064	30	3	5	74.398	28.224	16.149
0.064	30	7	5	75.889	5.684	40.195
0.064	40	3	5	74.471	33.295	7.008
0.064	40	7	5	85.444	13.145	20.779
0.064	50	3	5	77.586	24.425	8.281
0.064	50	7	5	66.133	19.763	7.018
0.128	10	3	5	73.399	5.337	311.328
0.128	10	7	5	73.494	0.002	680.425
0.128	20	3	5	65.194	5.759	52.616
0.128	20	7	5	75.21	1.169	101.092
0.128	30	3	5	74.694	10.665	22.815
0.128	30	7	5	75.733	2.714	44.256
0.128	40	3	5	66.355	20.8	13.373
0.128	40	7	5	82.316	12.485	20.953
0.128	50	3	5	75.605	44.28	2.274
0.128	50	7	5	73.472	26.627	6.895
0.256	10	3	5	75.912	1.25	137.287
0.256	10	7	5	71.886	0.038	279.504
0.256	20	3	5	73.852	9.608	32.732
0.256	20	7	5	65.858	0.713	57.147
0.256	30	3	5	71.623	23.724	15.21
0.256	30	7	5	78.62	12.668	21.6
0.256	40	3	5	93.315	49.069	2.374
0.256	40	7	5	81.549	24.07	13.293
0.256	50	3	5	74.859	41.053	1.475
0.256	50	7	5	74.065	29.888	2.224
0.004	10	5	5	47.282	0.012	757.462
0.004	10	10	5	48.674	0	1228.18
0.004	10	15	5	46.041	0	1718.92
0.004	10	20	5	48.659	0	1975.76
0.004	15	5	5	48.665	0.064	246.84
0.004	15	10	5	53.204	0.006	516.8
0.004	15	15	5	49.484	0	673.792
0.004	15	20	5	50.74	0	683.694
0.004	20	5	5	53.419	0.432	208.115
0.004	20	10	5	48.402	0.009	276.333
0.004	20	15	5	49.704	0.008	313.602
0.004	20	20	5	46.584	0	419.132
0.004	25	5	5	49.332	0.76	231.058
0.004	25	10	5	46.057	0.192	149.292
0.004	25	15	5	44.418	0.074	189.272
0.004	25	20	5	47.174	0.001	237.577
0.004	30	5	5	47.916	0.867	98.042
0.004	30	10	5	47.094	0.183	123.559
0.004	30	15	5	47.148	0.321	135.857
0.004	30	20	5	51.671	0.043	175.726
0.006	10	5	5	50.126	0.038	741.875
0.006	10	10	5	53.008	0	1204.47
0.006	10	15	5	49.456	0	1480.16
0.006	10	20	5	52.392	0	2087.29
0.006	15	5	5	48.693	0.37	280.168
0.006	15	10	5	53.849	0	543.906
0.006	15	15	5	48.968	0	591.88
0.006	15	20	5	45.15	0	723.945
0.006	20	5	5	51.226	2.373	150.527
0.006	20	10	5	52.852	0.005	256.415
0.006	20	15	5	46.543	0	361.76
0.006	20	20	5	50.435	0	393.04
0.006	25	5	5	45.863	2.23	121.106
0.006	25	10	5	46.894	0.045	213.054
0.006	25	15	5	44.806	0	267.528
0.006	25	20	5	42.616	0.006	236.343
0.006	30	5	5	45.307	1.918	83.234
0.006	30	10	5	51.893	0.47	135.497
0.006	30	15	5	45.265	0.01	138.982
0.006	30	20	5	47.477	0.039	179.006
0.009	10	5	5	47.98	0.011	779.352
0.009	10	10	5	49.547	0	1319.03
0.009	10	15	5	48.883	0	1689.2
0.009	10	20	5	52.478	0	2040.16
0.009	15	5	5	47.68	0.082	367.803
0.009	15	10	5	51.531	0	540.581
0.009	15	15	5	49.426	0	727.901
0.009	15	20	5	50.054	0	830.26
0.009	20	5	5	44.697	1.123	111.327
0.009	20	10	5	48.729	0.015	239.92
0.009	20	15	5	54.562	0	372.404
0.009	20	20	5	48.902	0	348.525
0.009	25	5	5	48.108	1.865	139.569
0.009	25	10	5	47.831	0.766	126.845
0.009	25	15	5	44.236	0.012	162.647
0.009	25	20	5	47.081	0.031	195.733
0.009	30	5	5	44.727	5.989	37.97
0.009	30	10	5	43.424	0.078	121.855
0.009	30	15	5	42.674	0.076	118.892
0.009	30	20	5	48.004	0.061	148.282
0.0135	10	5	5	49.59	0.012	890.424
0.0135	10	10	5	45.38	0	1421.81
0.0135	10	15	5	49.387	0	1891.12
0.0135	10	20	5	47.962	0	1763.17
0.0135	15	5	5	51.351	0.06	431.047
0.0135	15	10	5	47.526	0	476.669
0.0135	15	15	5	44.256	0	609.199
0.0135	15	20	5	47.197	0	684.717
0.0135	20	5	5	48.164	0.241	188.118
0.0135	20	10	5	51.178	0.059	258.025
0.0135	20	15	5	44.942	0.005	320.548
0.0135	20	20	5	48.369	0	362.646
0.0135	25	5	5	49.698	2.684	113.571
0.0135	25	10	5	46.669	0.188	131.575
0.0135	25	15	5	44.08	0.078	172.88
0.0135	25	20	5	46.961	0	232.347
0.0135	30	5	5	55.069	2.929	81.315
0.0135	30	10	5	49.148	2.036	114.703
0.0135	30	15	5	45.081	0.1	147.374
0.0135	30	20	5	50.19	0.028	164.729
0.02025	10	5	5	48.371	0.005	643.164
0.02025	10	10	5	48.671	0	1230.59
0.02025	10	15	5	40.289	0	1548.47
0.02025	10	20	5	45.416	0	1946.59
0.02025	15	5	5	47.119	0.468	312.931
0.02025	15	10	5	45.254	0	527.399
0.02025	15	15	5	46.3	0	634.651
0.02025	15	20	5	43.787	0	722.312
0.02025	20	5	5	47.841	1	147.212
0.02025	20	10	5	51.598	0.075	243.478
0.02025	20	15	5	47.422	0.044	345.834
0.02025	20	20	5	47.395	0	428.874
0.02025	25	5	5	52.091	3.097	101.138
0.02025	25	10	5	49.118	0.331	197.386
0.02025	25	15	5	48.86	0	246.028
0.02025	25	20	5	51.197	0	215.959
0.02025	30	5	5	52.511	1.353	97.646
0.02025	30	10	5	50.028	0.872	135.386
0.02025	30	15	5	45.761	0.013	141.563
0.02025	30	20	5	50.163	0.003	225.812
0.030375	10	5	5	46.01	0.313	864.953
0.030375	10	10	5	47.554	0	1357.35
0.030375	10	15	5	48.36	0	1728.6
0.030375	10	20	5	50.15	0	2298.61
0.030375	15	5	5	48.617	0.206	307.505
0.030375	15	10	5	49.482	0	444.901
